Seconds,Battery Voltage (V),ON/OFF
Switchoff Voltage = 980mV
1875,5.65,1
1880,5.67,1
1885,5.64,1
1890,5.68,1
1895,5.66,1
1900,5.67,1
1905,5.65,1
1910,5.68,1
1915,5.66,1
1920,5.66,1
1925,5.66,1
1930,5.67,1
1935,5.67,1
1940,5.66,1
1945,5.67,1
1950,5.66,1
1955,5.66,1
1960,5.66,1
1965,5.66,1
1970,5.65,1
1975,5.65,1
1980,5.64,1
1985,5.67,1
1990,5.65,1
1995,5.67,1
2000,5.67,1
2005,5.64,1
2010,5.66,1
2015,5.66,1
2020,5.65,1
2025,5.66,1
2030,5.65,1
2035,5.66,1
2040,5.65,1
2045,5.64,1
2050,5.65,1
2055,5.65,1
2060,5.67,1
2065,5.64,1
2070,5.65,1
2075,5.66,1
2080,5.63,1
2085,5.62,1
2090,5.65,1
2095,5.63,1
2100,5.65,1
2105,5.67,1
2110,5.67,1
2115,5.66,1
2120,5.63,1
2125,5.67,1
2130,5.67,1
2135,5.65,1
2140,5.66,1
2145,5.64,1
2150,5.65,1
2155,5.68,1
2160,5.66,1
2165,5.64,1
2170,5.64,1
2175,5.66,1
2180,5.65,1
2185,5.65,1
2190,5.63,1
2195,5.66,1
2200,5.63,1
2205,5.63,1
2210,5.65,1
2215,5.66,1
2220,5.67,1
2225,5.65,1
2230,5.65,1
2235,5.65,1
2240,5.65,1
2245,5.67,1
2250,5.67,1
2255,5.64,1
2260,5.67,1
2265,5.62,1
2270,5.65,1
2275,5.66,1
2280,5.65,1
2285,5.64,1
2290,5.66,1
2295,5.65,1
2300,5.67,1
2305,5.65,1
2310,5.67,1
2315,5.66,1
2320,5.65,1
2325,5.64,1
2330,5.65,1
2335,5.66,1
2340,5.65,1
2345,5.66,1
2350,5.65,1
2355,5.67,1
2360,5.65,1
2365,5.66,1
2370,5.65,1
2375,5.65,1
2380,5.66,1
2385,5.65,1
2390,5.65,1
2395,5.66,1
2400,5.66,1
2405,5.65,1
2410,5.68,1
2415,5.66,1
2420,5.66,1
2425,5.66,1
2430,5.66,1
2435,5.64,1
2440,5.65,1
2445,5.64,1
2450,5.65,1
2455,5.65,1
2460,5.65,1
2465,5.63,1
2470,5.66,1
2475,5.66,1
2480,5.65,1
2485,5.64,1
2490,5.66,1
2495,5.66,1
2500,5.65,1
2505,5.65,1
2510,5.66,1
2515,5.66,1
2520,5.65,1
2525,5.64,1
2530,5.66,1
2535,5.65,1
2540,5.64,1
2545,5.66,1
2550,5.65,1
2555,5.64,1
2560,5.64,1
2565,5.65,1
2570,5.63,1
2575,5.65,1
2580,5.63,1
2585,5.65,1
2590,5.63,1
2595,5.64,1
2600,5.67,1
2605,5.65,1
2610,5.65,1
2615,5.64,1
2620,5.65,1
2625,5.64,1
2630,5.65,1
2635,5.64,1
2640,5.65,1
2645,5.63,1
2650,5.65,1
2655,5.66,1
2660,5.63,1
2665,5.64,1
2670,5.62,1
2675,5.65,1
2680,5.65,1
2685,5.64,1
2690,5.62,1
2695,5.64,1
2700,5.66,1
2705,5.64,1
2710,5.64,1
2715,5.63,1
2720,5.63,1
2725,5.64,1
2730,5.6,1
2735,5.63,1
2740,5.63,1
2745,5.64,1
2750,5.64,1
2755,5.65,1
2760,5.64,1
2765,5.63,1
2770,5.65,1
2775,5.63,1
2780,5.67,1
2785,5.64,1
2790,5.64,1
2795,5.67,1
2800,5.6,1
2805,5.64,1
2810,5.64,1
2815,5.65,1
2820,5.63,1
2825,5.64,1
2830,5.63,1
2835,5.63,1
2840,5.63,1
2845,5.63,1
2850,5.63,1
2855,5.63,1
2860,5.64,1
2865,5.64,1
2870,5.63,1
2875,5.62,1
2880,5.64,1
2885,5.64,1
2890,5.64,1
2895,5.64,1
2900,5.63,1
2905,5.62,1
2910,5.64,1
2915,5.63,1
2920,5.63,1
2925,5.65,1
2930,5.64,1
2935,5.64,1
2940,5.64,1
2945,5.64,1
2950,5.63,1
2955,5.64,1
2960,5.64,1
2965,5.64,1
2970,5.64,1
2975,5.65,1
2980,5.63,1
2985,5.62,1
2990,5.63,1
2995,5.63,1
3000,5.67,1
3005,5.64,1
3010,5.62,1
3015,5.62,1
3020,5.61,1
3025,5.63,1
3030,5.61,1
3035,5.63,1
3040,5.64,1
3045,5.67,1
3050,5.67,1
3055,5.64,1
3060,5.63,1
3065,5.61,1
3070,5.64,1
3075,5.63,1
3080,5.65,1
3085,5.64,1
3090,5.64,1
3095,5.65,1
3100,5.65,1
3105,5.62,1
3110,5.63,1
3115,5.62,1
3120,5.62,1
3125,5.65,1
3130,5.64,1
3135,5.64,1
3140,5.64,1
3145,5.65,1
3150,5.63,1
3155,5.62,1
3160,5.64,1
3165,5.65,1
3170,5.66,1
3175,5.65,1
3180,5.64,1
3185,5.63,1
3190,5.64,1
3195,5.63,1
3200,5.62,1
3205,5.64,1
3210,5.62,1
3215,5.65,1
3220,5.63,1
3225,5.63,1
3230,5.66,1
3235,5.63,1
3240,5.65,1
3245,5.61,1
3250,5.65,1
3255,5.63,1
3260,5.64,1
3265,5.63,1
3270,5.64,1
3275,5.62,1
3280,5.63,1
3285,5.63,1
3290,5.61,1
3295,5.63,1
3300,5.64,1
3305,5.63,1
3310,5.64,1
3315,5.63,1
3320,5.61,1
3325,5.63,1
3330,5.64,1
3335,5.64,1
3340,5.64,1
3345,5.62,1
3350,5.63,1
3355,5.63,1
3360,5.63,1
3365,5.63,1
3370,5.63,1
3375,5.63,1
3380,5.64,1
3385,5.6,1
3390,5.62,1
3395,5.63,1
3400,5.64,1
3405,5.63,1
3410,5.62,1
3415,5.61,1
3420,5.62,1
3425,5.63,1
3430,5.63,1
3435,5.63,1
3440,5.62,1
3445,5.62,1
3450,5.64,1
3455,5.62,1
3460,5.62,1
3465,5.62,1
3470,5.63,1
3475,5.61,1
3480,5.63,1
3485,5.63,1
3490,5.64,1
3495,5.63,1
3500,5.63,1
3505,5.63,1
3510,5.63,1
3515,5.62,1
3520,5.65,1
3525,5.63,1
3530,5.63,1
3535,5.63,1
3540,5.64,1
3545,5.65,1
3550,5.64,1
3555,5.64,1
3560,5.63,1
3565,5.64,1
3570,5.62,1
3575,5.66,1
3580,5.64,1
3585,5.63,1
3590,5.64,1
3595,5.62,1
3600,5.64,1
3605,5.62,1
3610,5.63,1
3615,5.62,1
3620,5.65,1
3625,5.62,1
3630,5.63,1
3635,5.63,1
3640,5.63,1
3645,5.63,1
3650,5.63,1
3655,5.63,1
3660,5.62,1
3665,5.64,1
3670,5.62,1
3675,5.63,1
3680,5.63,1
3685,5.62,1
3690,5.63,1
3695,5.63,1
3700,5.63,1
3705,5.61,1
3710,5.67,1
3715,5.6,1
3720,5.61,1
3725,5.62,1
3730,5.6,1
3735,5.62,1
3740,5.63,1
3745,5.62,1
3750,5.61,1
3755,5.62,1
3760,5.62,1
3765,5.64,1
3770,5.6,1
3775,5.65,1
3780,5.63,1
3785,5.62,1
3790,5.61,1
